"accessionnumber/geneID","definition","Ref","Pocillopora_acuta_best_hit"
"XP_022789932.1","MAGUK p55 subfamily member 7-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g15517.t1"
"XP_022794736.1","MAM and LDL-receptor class A domain-containing protein 2-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"XP_022798902.1","low-density lipoprotein receptor-related protein 8-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g4085.t1"
"XP_022801463.1","sodium bicarbonate cotransporter 3-like isoform X2","Zoccola et al., 2015","Pocillopora_acuta_HIv2___RNAseq.g7402.t1"
"XP_022803524.1","digestive cysteine proteinase 1-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g18103.t1"
"XP_022803872.1","spore wall protein 2-like isoform X3 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g5807.t1"
"XP_022804012.1","EGF and laminin G domain-containing protein-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"XP_022806928.1","SLIT-ROBO Rho GTPase-activating protein 1-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g27376.t1"
"XP_022807807.1","uncharacterized protein LOC111344812 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g24861.t1b"
"XP_022809269.1","microtubule-associated tumor suppressor 1 homolog isoform X1 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___TS.g11659.t1"
"XP_022809270.1","microtubule-associated tumor suppressor 1 homolog isoform X2 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___TS.g11659.t1"
"XP_022810585.1","von Willebrand factor D and EGF domain-containing protein-like, partial [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g28226.t2"
